References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"ZD1, ZD2",2,1.5KE400CA,,1.5KE400CARL,1.5KE400CA-TPMSCT-ND,8331.5KE400CATP,1.5KE400CA,,1.5KE400CARL
X4; fan connector,1,22-27-2031,,22-27-2031,WM4112-ND,53822272031,22272031,,22272031
X3,1,DS1013-16SSIB1,,MC-254-16-00-ST-DIP,ED10523-ND,71061201621621,61201621621,,MC2541600STDIP
X2,1,39-30-1039,,39-30-1039,WM18442-ND,53839301039,39301039,,39301039
X1,1,39-28-1063,,39-28-1063,WM3802-ND,53839281063,39281063,,39281063
"VAR1, VAR2",2,ERZE14A431 or V275LA20AP,,ERZE11A431,P16688-ND,667ERZE11A431,ERZE11A431,,ERZE11A431
TR2,1,IRM-10-12,,IRM-10-12,1866-3028-ND,709IRM1012,IRM1012,,IRM1012
TR1,1,IRM-10-5,,IRM-10-5,1866-3032-ND,709IRM105,IRM105,,IRM105
SW2,1,EVQP7A01P,,EVQP7A01P,P16763CT-ND,667EVQP7A01P,EVQP7A01P,,EVQP7A01P
SW1,1,DF62J12S2AHQA,,DF62J12S2AHQA,CKN2062-ND,611DF62J12S2AHQA,DF62J12S2AHQA,,DF62J12S2AHQA
SAR1,1,CG2-470L,,2027-47-BLF,2027-47-BLF-ND,652202747BLF,CG2470L,,202747BLF
"R5, R10, R16, R19",4,4K7,,CRGCQ0805F4K7,311-4.70KCRCT-ND,603RC0805FR074K7L,CRG0805F4K7,,CRGCQ0805F4K7
"R4, R6, R7, R8",4,330R/2W,,3520330RJT,RMCF2512JT330RCT-ND,2793520330RJT,3521330RFT,,3520330RJT
R22,1,470R,,WCR0805-470RFI,311-470CRCT-ND,71CRCW0805470RFKEB,CRG0805F470R,,WCR0805470RFI
"R2, R9",2,270R,,MCMR08X271 JTL,RMCF0805FT270RCT-ND,652CR0805FX2700ELF,CRG0805F270R,,MCMR08X271 JTL
R17,1,10R,,RC1206FR-0710RL,311-10.0CRCT-ND,603RC1206FR0710RL,CR1206FX10R0ELF,,RC1206FR0710RL
"R1, R3, R14, R15, R18",5,1K,,WCR0805-1K0FI,RC0805FR-071KL,603RC0805FR071KL,CRG0805F1K0,,WCR08051K0FI
"R12, R13",2,3K3,,MCWR08X3301FTL,A129755CT-ND,,CRG0805F3K3,,MCWR08X3301FTL
"R11, R23",2,39K,,MCWR08X3902FTL,RMCF0805FT39K0CT-ND,652CR0805FX3902ELF,CRCW080539K0FKEA,,MCWR08X3902FTL
"Q3, Q4, Q5",3,2N7002,,2N7002-7-F,2N7002LT1GOSCT-ND,8632N7002LT1G,2N7002LT1G,,2N70027F
"Q1, Q2",2,BTA26-600,,BTA26-600BRG,497-2427-5-ND,511BTA26600B,BTA26600BRG,,BTA26600BRG
OK2,1,MOC3062,,MOC3062SR2VM,MOC3062SM-ND,512MOC3062SM,MOC3062SM,,MOC3062SR2VM
OK1,1,MOC3052,,MOC3052SM,MOC3052SM-ND,512MOC3052SM,MOC3052SM,,MOC3052SM
NTC1,1,B57236S0200M,,B57236S0200M,495-3047-ND,871B57236S200M,,,B57236S0200M
LED1,1,OSY5LU3E34X-3F1A,,,-,,,,
"L1, L2",2,VLS6045AF-3R3N,,IHLP2020CZER3R3M11,445-180834-1-ND,810VLS6045AF3R3N,,,IHLP2020CZER3R3M11
J4,1,SWEB 8094 AU/GN,,,-,,,,
"J2, J3",2,1-726388-2,,1-726388-2,A121493-ND,5717263882,17263882,,17263882
J1,1,PF0030/PC,,PF0030/PC,708-1914-ND,161PF0030/PC,PF0030/PC,,PF0030/PC
IC2,1,MAX31760AEE+,,MAX31760AEE+,MAX31760AEE+-ND,700MAX31760AEE+,,,MAX31760AEE+
IC1,1,BD00FC0WFP-E2,,BD00FC0WFP-E2,BD00FC0WFP-E2CT-ND,755BD00FC0WFPE2,BD00FC0WFPE2,,BD00FC0WFPE2
D1,1,SKL14,,PMEG4010EGWX,1727-7335-1-ND,841PMEG4010EGWX,PMEG4010EGWX,,PMEG4010EGWX
"C9, C10",2,100n,,C0603C104K4RAC7081,490-4774-1-ND,80C0603C104M4R,VJ0603Y104KXJAT,,C0603C104K4RAC7081
"C6, C12, C13",3,EEEFK1V470P,,EEEFK1V470P,PCE3842CT-ND,667EEEFK1V470P,EEEFK1V470P,,EEEFK1V470P
"C3, C7, C8",3,1u,,VJ0805Y105KXXTW1BC,587-1283-1-ND,603CC805MKX7R7BB105,C0805C105K4RACTU,,VJ0805Y105KXXTW1BC
"C1, C2",2,47n/400V (X2),,B32921C3473K000,399-11478-ND,871B32921C3473K,B32921C3473M000,,B32921C3473K000
