References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,DigiKey,Mouser,TME
"C1, C2, C16, C18, C19",5,1u,,490-10494-2-ND,,81-GRM219R7YA105KA2J,,GRM219R7YA105KA12D,,,
C10,1,47n/400V (X2),,399-11478-ND,,871-B32921C3473K,,MKP-X2-47NR10/310,,,
"C13, C14",2,100n,,1276-1005-2-ND,,187-CL10B104KO8NNNC ,,CL10B104KA8NNNC,,,
"C3, C6, C9",3,100n/X2,,399-6806-ND ,,80-R46KI310000M1M,,R46KI310000M1M,,,
"C4, C5, C17",3,EEEFK1V470P,,PCE3842CT-ND,,667-EEE-FK1V470P,,EEEFK1V470P,,,
"C7, C8",2,2n2/Y2,,495-4874-1-ND,,871-B32620A6222J289,,R66PD1220AA10K,,,
"D3, D4",2,BAS316,,1727-7370-1-ND,,771-BAS316-T/R,,"BAS316,115",,,
D6,1,SKL14,,1727-7335-1-ND,,841-PMEG4010EGWX,,SKL14-DIO,,,
IC1,1,MAX31760AEE+,,MAX31760AEE+-ND ,,700-MAX31760AEE+,,-,,,
IC2,1,BD00FC0W,,BD00FC0WFP-E2TR-ND,,755-BD00FC0WFP-E2,,-,,,
J1,1,SWEB 8094 AU/GN,,-,,-,,SWEB 8094 AU/GN,,,
"J2, J3",2,1-726388-2,,1-726388-2-ND,,571-1-726388-2,,61-1560-21/0030,,,
J4,1,PF0030/PC,,708-1914-ND,,161-PF0030/PC,,PF0030/PC,,,
"K1, K2",2,ALQ105,,255-3565-ND,,769-ALQ105,,ALQ105,,,
"L1, L2",2,VLS6045AF-3R3N,,445-180834-1-ND,,810-VLS6045AF-3R3N,,HPI0630-3R3,,,
L3,1,2200HT-221-V-RC,,2200HT-221-V-RC-ND,,542-2200HT-221V-RC,,-,,,
L4,1,RN222-4-02-3M3,,817-2100-ND,,631-RN112-4-02-0M7,,-,,,
LED1,1,WP934CB/YD,,754-1300-ND,,604-WP934CB/YD ,,L-934CB/1YD,,,
NTC1,1,B57236S0200M,,495-3047-ND ,,871-B57236S200M,,B57236S0200,,,
"Q1, Q2",2,MMBT5551,,4878-MMBT5551CT-ND,,863-MMBT5551LT1G,,MMBT5551-7-F,,,
Q3,1,2N7002,,T2N7002AKLMCT-ND,,757-T2N7002AKLM,,2N7002LT1G,,,
"R1, R2",2,470K,,A126370CT-ND,,71-CRCW0805470KFKEA,,0805S8J0474T5E,,,
"R14, R18",2,39K,,RMCF0805FT39K0CT-ND,,652-CR0805FX-3902ELF,,0805S8J0393T5E,,,
"R15, R16",2,3K3,,A129755CT-ND,,603-RC0805FR-073K3L,,805S8F3301T5E,,,
R19,1,470R,,311-470CRCT-ND,,71-CRCW0805470RFKEB,,RC0805FR-07470R,,,
"R3, R4, R11, R12, R17",5,1K,,311-1.00KCRTR-ND,,603-RC0805FR-071KL,,RC0805FR-071K,,,
"R5, R13",2,4K7,,311-4.70KCRCT-ND,,603-RC0805FR-074K7L,,0805S8F4701T5E,,,
R8,1,10R,,311-10.0CRTR-ND,,652-CR0805AFX10R0EAS,,SMD0805-10R-1%,,,
SAR1,1,2051-47-SM-RPLF,,2051-47-SM-RPLFCT-ND,,652-2051-47-SM-RPLF,,-,,,
SW1,1,DF62J12S2AHQA,,CKN2062-ND,,611-DF62J12S2AHQA,,DF62J12S2AHQA,,,
TR1,1,IRM-10-5 (optional IRM-20-5),,1866-3032-ND,,709-IRM10-5 ,,IRM-10-5,,,
TR2,1,IRM-10-12,,1866-3028-ND ,,709-IRM10-12 ,,IRM-10-12,,,
"VAR1, VAR2, VAR3",3,ERZE14A431,,P16688-ND,,667-ERZ-E11A431,,V275LA20AP,,,
X1,1,DS1013-16SSIB1,,ED10523-ND,,710-61201621621,,DS1013-16SSIB1,,,
X2,1,39-28-1063,,WM3802-ND,,538-39-28-1063,,MX-5566-06A,,,
X3,1,39-30-1039,,WM18442-ND ,,538-39-30-1039 ,,MX-5566-03A3,,,
X4,1,22-27-2031,,WM4112-ND,,538-22-27-2031,,MX-6410-03A,,,
ZD1,1,MM3Z18VT1G,,MM3Z18VT1GOSCT-ND,,863-MM3Z18VT1G,,MM3Z18VT1G,,,
